USER_ID,USERNAME,TASK_COMPLETED_STATUS,TASK_TITLE
3,Samantha,NOT COMPLETED,aliquid amet impedit consequatur aspernatur placeat eaque fugiat suscipit
3,Samantha,NOT COMPLETED,rerum perferendis error quia ut eveniet
3,Samantha,COMPLETED,tempore ut sint quis recusandae
3,Samantha,COMPLETED,cum debitis quis accusamus doloremque ipsa natus sapiente omnis
3,Samantha,NOT COMPLETED,velit soluta adipisci molestias reiciendis harum
3,Samantha,NOT COMPLETED,vel voluptatem repellat nihil placeat corporis
3,Samantha,NOT COMPLETED,nam qui rerum fugiat accusamus
3,Samantha,NOT COMPLETED,sit reprehenderit omnis quia
3,Samantha,NOT COMPLETED,ut necessitatibus aut maiores debitis officia blanditiis velit et
3,Samantha,COMPLETED,cupiditate necessitatibus ullam aut quis dolor voluptate
3,Samantha,NOT COMPLETED,distinctio exercitationem ab doloribus
3,Samantha,NOT COMPLETED,nesciunt dolorum quis recusandae ad pariatur ratione
3,Samantha,NOT COMPLETED,qui labore est occaecati recusandae aliquid quam
3,Samantha,COMPLETED,quis et est ut voluptate quam dolor
3,Samantha,COMPLETED,voluptatum omnis minima qui occaecati provident nulla voluptatem ratione
3,Samantha,COMPLETED,deleniti ea temporibus enim
3,Samantha,NOT COMPLETED,pariatur et magnam ea doloribus similique voluptatem rerum quia
3,Samantha,NOT COMPLETED,est dicta totam qui explicabo doloribus qui dignissimos
3,Samantha,NOT COMPLETED,perspiciatis velit id laborum placeat iusto et aliquam odio
3,Samantha,COMPLETED,et sequi qui architecto ut adipisci
